bits, path
2, sub-S02_ses-SES01/func
2, sub-S03_ses-SES01/func
2, sub-S05_ses-SES01/func
2, sub-S06_ses-SES01/func
2, sub-S07_ses-SES01/func
2, sub-S08_ses-SES01/func
2, sub-S09_ses-SES01/func
2, sub-S10_ses-SES01/func
2, sub-S11_ses-SES01/func
4135, sub-S08_ses-SES01/anat/first
4143, sub-S07_ses-SES01/anat/first
4143, sub-S09_ses-SES01/anat/first
4151, sub-S02_ses-SES01/anat/first
4151, sub-S03_ses-SES01/anat/first
4151, sub-S05_ses-SES01/anat/first
4151, sub-S06_ses-SES01/anat/first
4151, sub-S10_ses-SES01/anat/first
4159, sub-S11_ses-SES01/anat/first
4559, sub-S01_ses-SES01/anat/first
5149, sub-S03_ses-SES01/logs
5190, sub-S08_ses-SES01/QC/eddy_QC
5197, sub-S05_ses-SES01/logs
5199, sub-S11_ses-SES01/logs
5229, sub-S08_ses-SES01/logs
5253, sub-S06_ses-SES01/logs
5261, sub-S10_ses-SES01/logs
5270, sub-S07_ses-SES01/QC/eddy_QC
5278, sub-S03_ses-SES01/QC/eddy_QC
5285, sub-S07_ses-SES01/logs
5286, sub-S09_ses-SES01/QC/eddy_QC
5294, sub-S11_ses-SES01/QC/eddy_QC
5310, sub-S02_ses-SES01/QC/eddy_QC
5311, sub-S09_ses-SES01/logs
5334, sub-S06_ses-SES01/QC/eddy_QC
5342, sub-S05_ses-SES01/QC/eddy_QC
5350, sub-S10_ses-SES01/QC/eddy_QC
5406, sub-S01_ses-SES01/QC/eddy_QC
8251, sub-S02_ses-SES01/logs
10056, sub-S08_ses-SES01/anat/surfaces/morphology
10392, sub-S09_ses-SES01/anat/surfaces/morphology
10592, sub-S03_ses-SES01/anat/surfaces/morphology
10616, sub-S05_ses-SES01/anat/surfaces/morphology
10624, sub-S06_ses-SES01/anat/surfaces/morphology
10664, sub-S10_ses-SES01/anat/surfaces/morphology
10760, sub-S11_ses-SES01/anat/surfaces/morphology
