bits, path
8608, sub-04171_ses-02/anat/surfaces/morphology
9768, sub-04209_ses-02/anat/volumetric
10056, sub-04201_ses-02/anat/volumetric
10168, sub-33789_ses-02/anat/volumetric
10240, sub-32436_ses-02/anat/volumetric
10280, sub-36144_ses-02/anat/volumetric
10336, sub-34359_ses-02/anat/volumetric
10352, sub-04204_ses-02/anat/volumetric
10352, sub-34736_ses-02/anat/volumetric
10360, sub-37130_ses-02/anat/volumetric
10456, sub-27934_ses-02/anat/volumetric
10488, sub-27960_ses-02/anat/volumetric
10496, sub-04170_ses-02/anat/volumetric
10536, sub-34273_ses-02/anat/volumetric
10608, sub-36966_ses-02/anat/volumetric
10624, sub-29096_ses-02/anat/volumetric
10648, sub-31730_ses-02/anat/volumetric
10656, sub-04211_ses-02/anat/volumetric
10824, sub-35557_ses-02/anat/volumetric
10848, sub-32310_ses-02/anat/volumetric
10872, sub-32159_ses-02/anat/volumetric
10888, sub-28982_ses-02/anat/volumetric
10888, sub-36487_ses-02/anat/volumetric
10904, sub-04181_ses-02/anat/volumetric
10944, sub-35538_ses-02/anat/volumetric
10952, sub-26896_ses-02/anat/volumetric
11072, sub-27869_ses-02/anat/volumetric
11192, sub-04166_ses-02/anat/volumetric
11224, sub-04165_ses-02/anat/volumetric
11352, sub-37348_ses-02/anat/volumetric
11408, sub-04210_ses-02/anat/volumetric
11408, sub-29332_ses-02/anat/volumetric
11638, sub-04209_ses-02/anat/surfaces/conte69
12046, sub-04201_ses-02/anat/surfaces/conte69
12056, sub-04171_ses-02/anat/volumetric
12680, sub-04178_ses-02/anat/volumetric
12726, sub-33789_ses-02/anat/surfaces/conte69
12822, sub-36144_ses-02/anat/surfaces/conte69
12950, sub-37130_ses-02/anat/surfaces/conte69
13038, sub-34359_ses-02/anat/surfaces/conte69
13046, sub-34736_ses-02/anat/surfaces/conte69
13102, sub-27934_ses-02/anat/surfaces/conte69
13190, sub-04170_ses-02/anat/surfaces/conte69
13238, sub-34273_ses-02/anat/surfaces/conte69
13278, sub-32436_ses-02/anat/surfaces/conte69
13286, sub-36966_ses-02/anat/surfaces/conte69
13326, sub-04204_ses-02/anat/surfaces/conte69
13398, sub-27960_ses-02/anat/surfaces/conte69
13454, sub-31730_ses-02/anat/surfaces/conte69
13526, sub-29096_ses-02/anat/surfaces/conte69
13654, sub-36487_ses-02/anat/surfaces/conte69
13686, sub-04211_ses-02/anat/surfaces/conte69
13718, sub-32310_ses-02/anat/surfaces/conte69
13750, sub-35557_ses-02/anat/surfaces/conte69
13790, sub-32159_ses-02/anat/surfaces/conte69
13846, sub-35538_ses-02/anat/surfaces/conte69
13870, sub-04181_ses-02/anat/surfaces/conte69
13942, sub-28982_ses-02/anat/surfaces/conte69
14006, sub-04166_ses-02/anat/surfaces/conte69
14102, sub-27869_ses-02/anat/surfaces/conte69
14134, sub-26896_ses-02/anat/surfaces/conte69
14302, sub-04165_ses-02/anat/surfaces/conte69
14406, sub-29332_ses-02/anat/surfaces/conte69
14622, sub-04178_ses-02/anat/surfaces/conte69
14726, sub-04210_ses-02/anat/surfaces/conte69
14822, sub-37348_ses-02/anat/surfaces/conte69
16374, sub-04171_ses-02/anat/surfaces/conte69
36462, sub-04201_ses-02/QC/png
36655, sub-04181_ses-02/QC/png
37167, sub-33789_ses-02/QC/png
40112, sub-04201_ses-02/QC
40305, sub-04181_ses-02/QC
40794, sub-33789_ses-02/QC
44679, sub-04210_ses-02/QC/png
44839, sub-31730_ses-02/QC/png
44951, sub-36966_ses-02/QC/png
45071, sub-32159_ses-02/QC/png
45071, sub-37130_ses-02/QC/png
45279, sub-27869_ses-02/QC/png
45319, sub-04209_ses-02/QC/png
45487, sub-35538_ses-02/QC/png
45519, sub-29096_ses-02/QC/png
45535, sub-32436_ses-02/QC/png
45583, sub-34273_ses-02/QC/png
45735, sub-36144_ses-02/QC/png
45879, sub-34359_ses-02/QC/png
45919, sub-04170_ses-02/QC/png
45927, sub-04204_ses-02/QC/png
45927, sub-34736_ses-02/QC/png
