bits, path
529, sub-CC710446_ses-pre/dwi/eddy
529, sub-CC710566_ses-pre/dwi/eddy
529, sub-CC710591_ses-pre/dwi/eddy
529, sub-CC710664_ses-pre/dwi/eddy
529, sub-CC710679_ses-pre/dwi/eddy
529, sub-CC711027_ses-pre/dwi/eddy
529, sub-CC720238_ses-pre/dwi/eddy
529, sub-CC720358_ses-pre/dwi/eddy
529, sub-CC720400_ses-pre/dwi/eddy
529, sub-CC720516_ses-pre/dwi/eddy
529, sub-CC720622_ses-pre/dwi/eddy
529, sub-CC720646_ses-pre/dwi/eddy
529, sub-CC721107_ses-pre/dwi/eddy
529, sub-CC721374_ses-pre/dwi/eddy
529, sub-CC721504_ses-pre/dwi/eddy
553, sub-CC120816_ses-pre/dwi/eddy
1245, sub-CC710679_ses-pre/logs
1245, sub-CC720516_ses-pre/logs
2453, sub-CC710664_ses-pre/logs
2808, sub-CC310402_ses-pre/logs
2880, sub-CC120376_ses-pre/logs
3029, sub-CC610405_ses-pre/logs
3133, sub-CC510163_ses-pre/logs
3133, sub-CC510258_ses-pre/logs
3141, sub-CC610071_ses-pre/logs
3149, sub-CC610210_ses-pre/logs
3197, sub-CC320321_ses-pre/logs
3211, sub-CC220901_ses-pre/QC/eddy_QC
3365, sub-CC420167_ses-pre/QC/eddy_QC
3373, sub-CC320321_ses-pre/QC/eddy_QC
3373, sub-CC610405_ses-pre/QC/eddy_QC
3429, sub-CC120123_ses-pre/QC/eddy_QC
3429, sub-CC210172_ses-pre/QC/eddy_QC
3429, sub-CC310052_ses-pre/QC/eddy_QC
3429, sub-CC310397_ses-pre/QC/eddy_QC
3429, sub-CC310463_ses-pre/QC/eddy_QC
3429, sub-CC320089_ses-pre/QC/eddy_QC
3429, sub-CC320636_ses-pre/QC/eddy_QC
3429, sub-CC410243_ses-pre/QC/eddy_QC
3429, sub-CC410284_ses-pre/QC/eddy_QC
3429, sub-CC420004_ses-pre/QC/eddy_QC
3429, sub-CC510355_ses-pre/QC/eddy_QC
3429, sub-CC510433_ses-pre/QC/eddy_QC
3429, sub-CC520013_ses-pre/QC/eddy_QC
3429, sub-CC520097_ses-pre/QC/eddy_QC
3429, sub-CC610392_ses-pre/QC/eddy_QC
3429, sub-CC620106_ses-pre/QC/eddy_QC
3429, sub-CC710664_ses-pre/QC/eddy_QC
3429, sub-CC720238_ses-pre/QC/eddy_QC
3429, sub-CC720516_ses-pre/QC/eddy_QC
3453, sub-CC110045_ses-pre/QC/eddy_QC
3453, sub-CC110319_ses-pre/QC/eddy_QC
3453, sub-CC110411_ses-pre/QC/eddy_QC
3453, sub-CC112141_ses-pre/QC/eddy_QC
3453, sub-CC120061_ses-pre/QC/eddy_QC
3453, sub-CC120065_ses-pre/QC/eddy_QC
3453, sub-CC120166_ses-pre/QC/eddy_QC
3453, sub-CC120319_ses-pre/QC/eddy_QC
3453, sub-CC120409_ses-pre/QC/eddy_QC
3453, sub-CC120727_ses-pre/QC/eddy_QC
3453, sub-CC120795_ses-pre/QC/eddy_QC
3453, sub-CC120816_ses-pre/QC/eddy_QC
3453, sub-CC120987_ses-pre/QC/eddy_QC
3453, sub-CC121144_ses-pre/QC/eddy_QC
3453, sub-CC121200_ses-pre/QC/eddy_QC
3453, sub-CC121397_ses-pre/QC/eddy_QC
3453, sub-CC210023_ses-pre/QC/eddy_QC
3453, sub-CC210519_ses-pre/QC/eddy_QC
3453, sub-CC210526_ses-pre/QC/eddy_QC
3453, sub-CC220098_ses-pre/QC/eddy_QC
3453, sub-CC220198_ses-pre/QC/eddy_QC
3453, sub-CC220223_ses-pre/QC/eddy_QC
3453, sub-CC220284_ses-pre/QC/eddy_QC
3453, sub-CC220323_ses-pre/QC/eddy_QC
3453, sub-CC220518_ses-pre/QC/eddy_QC
3453, sub-CC220535_ses-pre/QC/eddy_QC
3453, sub-CC220635_ses-pre/QC/eddy_QC
3453, sub-CC221040_ses-pre/QC/eddy_QC
3453, sub-CC221648_ses-pre/QC/eddy_QC
3453, sub-CC312058_ses-pre/QC/eddy_QC
3453, sub-CC312222_ses-pre/QC/eddy_QC
3453, sub-CC320059_ses-pre/QC/eddy_QC
3453, sub-CC320088_ses-pre/QC/eddy_QC
3453, sub-CC320109_ses-pre/QC/eddy_QC
3453, sub-CC320325_ses-pre/QC/eddy_QC
3453, sub-CC321107_ses-pre/QC/eddy_QC
3453, sub-CC321174_ses-pre/QC/eddy_QC
3453, sub-CC321504_ses-pre/QC/eddy_QC
3453, sub-CC410179_ses-pre/QC/eddy_QC
3453, sub-CC410226_ses-pre/QC/eddy_QC
3453, sub-CC410248_ses-pre/QC/eddy_QC
3453, sub-CC410287_ses-pre/QC/eddy_QC
3453, sub-CC410387_ses-pre/QC/eddy_QC
3453, sub-CC412021_ses-pre/QC/eddy_QC
3453, sub-CC420075_ses-pre/QC/eddy_QC
3453, sub-CC420162_ses-pre/QC/eddy_QC
3453, sub-CC420197_ses-pre/QC/eddy_QC
3453, sub-CC420204_ses-pre/QC/eddy_QC
3453, sub-CC420217_ses-pre/QC/eddy_QC
3453, sub-CC420236_ses-pre/QC/eddy_QC
3453, sub-CC420322_ses-pre/QC/eddy_QC
3453, sub-CC420348_ses-pre/QC/eddy_QC
3453, sub-CC510086_ses-pre/QC/eddy_QC
3453, sub-CC510163_ses-pre/QC/eddy_QC
3453, sub-CC510258_ses-pre/QC/eddy_QC
3453, sub-CC510342_ses-pre/QC/eddy_QC
3453, sub-CC510393_ses-pre/QC/eddy_QC
3453, sub-CC510474_ses-pre/QC/eddy_QC
3453, sub-CC510548_ses-pre/QC/eddy_QC
3453, sub-CC510551_ses-pre/QC/eddy_QC
3453, sub-CC520053_ses-pre/QC/eddy_QC
3453, sub-CC520134_ses-pre/QC/eddy_QC
3453, sub-CC520168_ses-pre/QC/eddy_QC
3453, sub-CC520209_ses-pre/QC/eddy_QC
3453, sub-CC520287_ses-pre/QC/eddy_QC
3453, sub-CC520424_ses-pre/QC/eddy_QC
3453, sub-CC520585_ses-pre/QC/eddy_QC
3453, sub-CC520624_ses-pre/QC/eddy_QC
3453, sub-CC610052_ses-pre/QC/eddy_QC
3453, sub-CC610071_ses-pre/QC/eddy_QC
3453, sub-CC610212_ses-pre/QC/eddy_QC
3453, sub-CC610227_ses-pre/QC/eddy_QC
3453, sub-CC610288_ses-pre/QC/eddy_QC
3453, sub-CC610469_ses-pre/QC/eddy_QC
3453, sub-CC610496_ses-pre/QC/eddy_QC
3453, sub-CC610568_ses-pre/QC/eddy_QC
3453, sub-CC610614_ses-pre/QC/eddy_QC
3453, sub-CC610625_ses-pre/QC/eddy_QC
3453, sub-CC610653_ses-pre/QC/eddy_QC
3453, sub-CC610658_ses-pre/QC/eddy_QC
3453, sub-CC620114_ses-pre/QC/eddy_QC
3453, sub-CC620354_ses-pre/QC/eddy_QC
3453, sub-CC620560_ses-pre/QC/eddy_QC
3453, sub-CC620567_ses-pre/QC/eddy_QC
3453, sub-CC621284_ses-pre/QC/eddy_QC
3453, sub-CC710446_ses-pre/QC/eddy_QC
3453, sub-CC710591_ses-pre/QC/eddy_QC
3453, sub-CC710679_ses-pre/QC/eddy_QC
3453, sub-CC711027_ses-pre/QC/eddy_QC
3453, sub-CC720358_ses-pre/QC/eddy_QC
3453, sub-CC720400_ses-pre/QC/eddy_QC
3453, sub-CC720622_ses-pre/QC/eddy_QC
3453, sub-CC720646_ses-pre/QC/eddy_QC
3453, sub-CC721107_ses-pre/QC/eddy_QC
3453, sub-CC721374_ses-pre/QC/eddy_QC
3453, sub-CC721504_ses-pre/QC/eddy_QC
3477, sub-CC121685_ses-pre/QC/eddy_QC
3477, sub-CC220697_ses-pre/QC/eddy_QC
3477, sub-CC310331_ses-pre/QC/eddy_QC
3477, sub-CC310414_ses-pre/QC/eddy_QC
3477, sub-CC420198_ses-pre/QC/eddy_QC
3477, sub-CC420202_ses-pre/QC/eddy_QC
3477, sub-CC610210_ses-pre/QC/eddy_QC
3477, sub-CC610405_ses-pre/QC
3477, sub-CC710566_ses-pre/QC/eddy_QC
3501, sub-CC210422_ses-pre/QC/eddy_QC
3503, sub-CC720358_ses-pre/anat/first
3508, sub-CC720516_ses-pre/QC
3527, sub-CC110045_ses-pre/anat/first
3527, sub-CC110319_ses-pre/anat/first
3527, sub-CC120065_ses-pre/anat/first
3527, sub-CC120123_ses-pre/anat/first
3527, sub-CC120319_ses-pre/anat/first
3527, sub-CC120376_ses-pre/anat/first
3527, sub-CC120987_ses-pre/anat/first
3527, sub-CC210172_ses-pre/anat/first
3527, sub-CC210519_ses-pre/anat/first
3527, sub-CC210526_ses-pre/anat/first
3527, sub-CC220098_ses-pre/anat/first
3527, sub-CC220284_ses-pre/anat/first
3527, sub-CC220323_ses-pre/anat/first
3527, sub-CC221040_ses-pre/anat/first
3527, sub-CC221648_ses-pre/anat/first
3527, sub-CC310052_ses-pre/anat/first
3527, sub-CC310397_ses-pre/anat/first
3527, sub-CC310463_ses-pre/anat/first
3527, sub-CC312222_ses-pre/anat/first
3527, sub-CC320089_ses-pre/anat/first
3527, sub-CC320321_ses-pre/anat/first
3527, sub-CC320325_ses-pre/anat/first
3527, sub-CC320636_ses-pre/anat/first
3527, sub-CC321107_ses-pre/anat/first
3527, sub-CC321174_ses-pre/anat/first
3527, sub-CC410226_ses-pre/anat/first
3527, sub-CC410243_ses-pre/anat/first
3527, sub-CC410248_ses-pre/anat/first
3527, sub-CC410284_ses-pre/anat/first
3527, sub-CC410287_ses-pre/anat/first
3527, sub-CC410387_ses-pre/anat/first
3527, sub-CC412021_ses-pre/anat/first
3527, sub-CC420004_ses-pre/anat/first
3527, sub-CC420162_ses-pre/anat/first
3527, sub-CC420167_ses-pre/anat/first
3527, sub-CC420204_ses-pre/anat/first
3527, sub-CC420217_ses-pre/anat/first
3527, sub-CC420322_ses-pre/anat/first
3527, sub-CC420348_ses-pre/anat/first
3527, sub-CC510086_ses-pre/anat/first
3527, sub-CC510163_ses-pre/anat/first
3527, sub-CC510342_ses-pre/anat/first
3527, sub-CC510355_ses-pre/anat/first
3527, sub-CC510433_ses-pre/anat/first
3527, sub-CC510474_ses-pre/anat/first
3527, sub-CC510548_ses-pre/anat/first
3527, sub-CC510551_ses-pre/anat/first
3527, sub-CC520013_ses-pre/anat/first
3527, sub-CC520053_ses-pre/anat/first
3527, sub-CC520097_ses-pre/anat/first
3527, sub-CC520134_ses-pre/anat/first
3527, sub-CC520209_ses-pre/anat/first
3527, sub-CC520287_ses-pre/anat/first
3527, sub-CC520585_ses-pre/anat/first
3527, sub-CC520624_ses-pre/anat/first
3527, sub-CC610052_ses-pre/anat/first
3527, sub-CC610071_ses-pre/anat/first
3527, sub-CC610210_ses-pre/anat/first
3527, sub-CC610212_ses-pre/anat/first
3527, sub-CC610227_ses-pre/anat/first
3527, sub-CC610288_ses-pre/anat/first
3527, sub-CC610392_ses-pre/anat/first
3527, sub-CC610405_ses-pre/anat/first
3527, sub-CC610469_ses-pre/anat/first
3527, sub-CC610496_ses-pre/anat/first
3527, sub-CC610568_ses-pre/anat/first
3527, sub-CC610614_ses-pre/anat/first
3527, sub-CC610625_ses-pre/anat/first
3527, sub-CC610653_ses-pre/anat/first
3527, sub-CC610658_ses-pre/anat/first
3527, sub-CC620106_ses-pre/anat/first
3527, sub-CC620114_ses-pre/anat/first
3527, sub-CC620354_ses-pre/anat/first
3527, sub-CC620567_ses-pre/anat/first
3527, sub-CC621284_ses-pre/anat/first
3527, sub-CC710566_ses-pre/anat/first
3527, sub-CC710591_ses-pre/anat/first
3527, sub-CC710664_ses-pre/anat/first
3527, sub-CC710679_ses-pre/anat/first
3527, sub-CC711027_ses-pre/anat/first
3527, sub-CC720238_ses-pre/anat/first
3527, sub-CC720400_ses-pre/anat/first
3527, sub-CC720516_ses-pre/anat/first
3527, sub-CC720622_ses-pre/anat/first
3527, sub-CC720646_ses-pre/anat/first
3527, sub-CC721107_ses-pre/anat/first
3527, sub-CC721374_ses-pre/anat/first
3527, sub-CC721504_ses-pre/anat/first
3535, sub-CC110411_ses-pre/anat/first
3535, sub-CC112141_ses-pre/anat/first
3535, sub-CC120061_ses-pre/anat/first
3535, sub-CC120166_ses-pre/anat/first
3535, sub-CC120409_ses-pre/anat/first
3535, sub-CC120727_ses-pre/anat/first
3535, sub-CC120795_ses-pre/anat/first
3535, sub-CC120816_ses-pre/anat/first
3535, sub-CC121144_ses-pre/anat/first
3535, sub-CC121200_ses-pre/anat/first
3535, sub-CC121397_ses-pre/anat/first
3535, sub-CC121685_ses-pre/anat/first
3535, sub-CC210023_ses-pre/anat/first
3535, sub-CC210422_ses-pre/anat/first
3535, sub-CC220198_ses-pre/anat/first
3535, sub-CC220223_ses-pre/anat/first
3535, sub-CC220518_ses-pre/anat/first
3535, sub-CC220535_ses-pre/anat/first
3535, sub-CC220635_ses-pre/anat/first
3535, sub-CC220697_ses-pre/anat/first
3535, sub-CC220901_ses-pre/anat/first
3535, sub-CC310331_ses-pre/anat/first
3535, sub-CC310402_ses-pre/anat/first
3535, sub-CC310414_ses-pre/anat/first
3535, sub-CC312058_ses-pre/anat/first
3535, sub-CC320059_ses-pre/anat/first
3535, sub-CC320088_ses-pre/anat/first
3535, sub-CC320109_ses-pre/anat/first
3535, sub-CC321504_ses-pre/anat/first
3535, sub-CC410179_ses-pre/anat/first
3535, sub-CC420075_ses-pre/anat/first
3535, sub-CC420197_ses-pre/anat/first
3535, sub-CC420198_ses-pre/anat/first
3535, sub-CC420202_ses-pre/anat/first
3535, sub-CC420236_ses-pre/anat/first
3535, sub-CC510258_ses-pre/anat/first
3535, sub-CC510393_ses-pre/anat/first
3535, sub-CC520168_ses-pre/anat/first
3535, sub-CC520424_ses-pre/anat/first
3535, sub-CC620560_ses-pre/anat/first
3535, sub-CC710446_ses-pre/anat/first
3556, sub-CC710679_ses-pre/QC
3583, sub-CC710664_ses-pre/QC
3701, sub-CC121685_ses-pre/logs
3701, sub-CC320059_ses-pre/logs
3701, sub-CC510548_ses-pre/logs
3709, sub-CC110319_ses-pre/logs
3709, sub-CC120065_ses-pre/logs
3709, sub-CC120795_ses-pre/logs
3709, sub-CC210422_ses-pre/logs
3709, sub-CC220223_ses-pre/logs
3709, sub-CC410226_ses-pre/logs
3709, sub-CC420217_ses-pre/logs
3709, sub-CC520168_ses-pre/logs
3709, sub-CC720238_ses-pre/logs
3709, sub-CC720400_ses-pre/logs
3717, sub-CC120409_ses-pre/logs
3717, sub-CC120987_ses-pre/logs
3717, sub-CC121200_ses-pre/logs
3717, sub-CC220098_ses-pre/logs
3717, sub-CC220284_ses-pre/logs
3717, sub-CC220535_ses-pre/logs
3717, sub-CC220697_ses-pre/logs
3717, sub-CC410179_ses-pre/logs
3717, sub-CC410387_ses-pre/logs
3717, sub-CC420198_ses-pre/logs
3717, sub-CC510086_ses-pre/logs
3717, sub-CC620354_ses-pre/logs
3717, sub-CC720358_ses-pre/logs
3725, sub-CC120166_ses-pre/logs
3725, sub-CC120727_ses-pre/logs
3725, sub-CC120816_ses-pre/logs
3725, sub-CC220198_ses-pre/logs
3725, sub-CC220635_ses-pre/logs
3725, sub-CC221040_ses-pre/logs
3725, sub-CC221648_ses-pre/logs
3725, sub-CC310052_ses-pre/logs
3725, sub-CC310331_ses-pre/logs
3725, sub-CC312222_ses-pre/logs
3725, sub-CC320089_ses-pre/logs
3725, sub-CC412021_ses-pre/logs
3725, sub-CC420004_ses-pre/logs
3725, sub-CC420204_ses-pre/logs
3725, sub-CC420322_ses-pre/logs
3725, sub-CC510433_ses-pre/logs
3725, sub-CC520287_ses-pre/logs
3725, sub-CC520624_ses-pre/logs
3725, sub-CC610052_ses-pre/logs
3725, sub-CC610288_ses-pre/logs
3725, sub-CC610614_ses-pre/logs
3725, sub-CC620114_ses-pre/logs
3725, sub-CC710566_ses-pre/logs
3733, sub-CC120319_ses-pre/logs
3733, sub-CC121397_ses-pre/logs
3733, sub-CC220518_ses-pre/logs
3733, sub-CC310397_ses-pre/logs
3733, sub-CC321107_ses-pre/logs
3733, sub-CC321174_ses-pre/logs
3733, sub-CC410284_ses-pre/logs
3733, sub-CC410287_ses-pre/logs
3733, sub-CC420197_ses-pre/logs
3733, sub-CC420348_ses-pre/logs
3733, sub-CC510393_ses-pre/logs
3733, sub-CC510474_ses-pre/logs
3733, sub-CC510551_ses-pre/logs
3733, sub-CC610469_ses-pre/logs
3733, sub-CC610496_ses-pre/logs
3733, sub-CC710446_ses-pre/logs
3733, sub-CC720622_ses-pre/logs
3733, sub-CC720646_ses-pre/logs
3741, sub-CC110411_ses-pre/logs
3741, sub-CC120061_ses-pre/logs
3741, sub-CC210172_ses-pre/logs
3741, sub-CC210519_ses-pre/logs
3741, sub-CC210526_ses-pre/logs
3741, sub-CC310414_ses-pre/logs
3741, sub-CC310463_ses-pre/logs
3741, sub-CC320088_ses-pre/logs
3741, sub-CC320636_ses-pre/logs
3741, sub-CC321504_ses-pre/logs
3741, sub-CC410243_ses-pre/logs
3741, sub-CC510355_ses-pre/logs
3741, sub-CC520053_ses-pre/logs
3741, sub-CC610658_ses-pre/logs
3741, sub-CC621284_ses-pre/logs
3749, sub-CC112141_ses-pre/logs
3749, sub-CC121144_ses-pre/logs
3749, sub-CC220323_ses-pre/logs
3749, sub-CC220901_ses-pre/logs
3749, sub-CC312058_ses-pre/logs
3749, sub-CC410248_ses-pre/logs
3749, sub-CC420075_ses-pre/logs
3749, sub-CC420202_ses-pre/logs
3749, sub-CC520424_ses-pre/logs
3749, sub-CC610212_ses-pre/logs
3749, sub-CC610392_ses-pre/logs
3749, sub-CC721374_ses-pre/logs
3757, sub-CC120123_ses-pre/logs
3757, sub-CC210023_ses-pre/logs
3757, sub-CC320109_ses-pre/logs
3757, sub-CC320325_ses-pre/logs
3757, sub-CC420236_ses-pre/logs
3757, sub-CC520013_ses-pre/logs
3757, sub-CC520585_ses-pre/logs
3757, sub-CC610568_ses-pre/logs
3757, sub-CC610653_ses-pre/logs
3757, sub-CC620560_ses-pre/logs
3757, sub-CC620567_ses-pre/logs
3757, sub-CC721107_ses-pre/logs
3765, sub-CC510342_ses-pre/logs
3765, sub-CC620106_ses-pre/logs
3765, sub-CC711027_ses-pre/logs
3773, sub-CC420162_ses-pre/logs
3773, sub-CC520134_ses-pre/logs
3773, sub-CC520209_ses-pre/logs
3773, sub-CC710591_ses-pre/logs
3781, sub-CC520097_ses-pre/logs
3781, sub-CC610227_ses-pre/logs
3781, sub-CC610625_ses-pre/logs
3791, sub-CC721504_ses-pre/logs
3797, sub-CC420167_ses-pre/logs
4651, sub-CC110045_ses-pre/logs
7520, sub-CC510433_ses-pre/anat/surfaces/morphology
7640, sub-CC620106_ses-pre/anat/surfaces/morphology
7656, sub-CC520013_ses-pre/anat/surfaces/morphology
7696, sub-CC510163_ses-pre/anat/surfaces/morphology
7696, sub-CC720358_ses-pre/anat/surfaces/morphology
7728, sub-CC210519_ses-pre/anat/surfaces/morphology
7736, sub-CC610469_ses-pre/anat/surfaces/morphology
7744, sub-CC120123_ses-pre/anat/surfaces/morphology
7744, sub-CC520209_ses-pre/anat/surfaces/morphology
7744, sub-CC710591_ses-pre/anat/surfaces/morphology
7768, sub-CC120987_ses-pre/anat/surfaces/morphology
7776, sub-CC621284_ses-pre/anat/surfaces/morphology
7792, sub-CC410243_ses-pre/anat/surfaces/morphology
7792, sub-CC410284_ses-pre/anat/surfaces/morphology
7792, sub-CC610392_ses-pre/anat/surfaces/morphology
7800, sub-CC320321_ses-pre/anat/surfaces/morphology
7800, sub-CC610405_ses-pre/anat/surfaces/morphology
7808, sub-CC210172_ses-pre/anat/surfaces/morphology
7816, sub-CC120376_ses-pre/anat/surfaces/morphology
7824, sub-CC220098_ses-pre/anat/surfaces/morphology
7832, sub-CC510355_ses-pre/anat/surfaces/morphology
7832, sub-CC720238_ses-pre/anat/surfaces/morphology
7848, sub-CC610227_ses-pre/anat/surfaces/morphology
7864, sub-CC220323_ses-pre/anat/surfaces/morphology
7864, sub-CC510342_ses-pre/anat/surfaces/morphology
7872, sub-CC412021_ses-pre/anat/surfaces/morphology
7872, sub-CC420204_ses-pre/anat/surfaces/morphology
7872, sub-CC420348_ses-pre/anat/surfaces/morphology
7872, sub-CC520053_ses-pre/anat/surfaces/morphology
7872, sub-CC620354_ses-pre/anat/surfaces/morphology
7880, sub-CC720622_ses-pre/anat/surfaces/morphology
7888, sub-CC310397_ses-pre/anat/surfaces/morphology
7888, sub-CC610212_ses-pre/anat/surfaces/morphology
7888, sub-CC610496_ses-pre/anat/surfaces/morphology
7896, sub-CC321174_ses-pre/anat/surfaces/morphology
7896, sub-CC720400_ses-pre/anat/surfaces/morphology
7904, sub-CC120065_ses-pre/anat/surfaces/morphology
7904, sub-CC320089_ses-pre/anat/surfaces/morphology
7904, sub-CC510086_ses-pre/anat/surfaces/morphology
7904, sub-CC710446_ses-pre/anat/surfaces/morphology
7912, sub-CC420004_ses-pre/anat/surfaces/morphology
7912, sub-CC510551_ses-pre/anat/surfaces/morphology
7912, sub-CC520134_ses-pre/anat/surfaces/morphology
7920, sub-CC721374_ses-pre/anat/surfaces/morphology
7928, sub-CC320325_ses-pre/anat/surfaces/morphology
7928, sub-CC510393_ses-pre/anat/surfaces/morphology
7928, sub-CC520585_ses-pre/anat/surfaces/morphology
7928, sub-CC720646_ses-pre/anat/surfaces/morphology
7944, sub-CC410226_ses-pre/anat/surfaces/morphology
