bits, path
83509, sub-HC036_ses-01/anat/geo_dist
83517, sub-HC007_ses-01/anat/geo_dist
83517, sub-HC043_ses-01/anat/geo_dist
83517, sub-HC049_ses-01/anat/geo_dist
83525, sub-HC008_ses-01/anat/geo_dist
83533, sub-HC011_ses-01/anat/geo_dist
83533, sub-HC026_ses-01/anat/geo_dist
83533, sub-HC031_ses-01/anat/geo_dist
83533, sub-HC048_ses-01/anat/geo_dist
83541, sub-HC029_ses-01/anat/geo_dist
83541, sub-HC042_ses-01/anat/geo_dist
83549, sub-HC017_ses-01/anat/geo_dist
83549, sub-HC022_ses-01/anat/geo_dist
83549, sub-HC034_ses-01/anat/geo_dist
83557, sub-HC030_ses-01/anat/geo_dist
83557, sub-HC047_ses-01/anat/geo_dist
83573, sub-HC021_ses-01/anat/geo_dist
83573, sub-HC028_ses-01/anat/geo_dist
83573, sub-HC045_ses-01/anat/geo_dist
83581, sub-HC019_ses-01/anat/geo_dist
83581, sub-HC038_ses-01/anat/geo_dist
83581, sub-HC050_ses-01/anat/geo_dist
83589, sub-HC001_ses-01/anat/geo_dist
83589, sub-HC002_ses-01/anat/geo_dist
83589, sub-HC004_ses-01/anat/geo_dist
83589, sub-HC025_ses-01/anat/geo_dist
83589, sub-HC027_ses-01/anat/geo_dist
83597, sub-HC033_ses-01/anat/geo_dist
83605, sub-HC040_ses-01/anat/geo_dist
83621, sub-HC003_ses-01/anat/geo_dist
83629, sub-HC013_ses-01/anat/geo_dist
83629, sub-HC024_ses-01/anat/geo_dist
83629, sub-HC044_ses-01/anat/geo_dist
83637, sub-HC014_ses-01/anat/geo_dist
83653, sub-HC010_ses-01/anat/geo_dist
83653, sub-HC012_ses-01/anat/geo_dist
83653, sub-HC018_ses-01/anat/geo_dist
83653, sub-HC037_ses-01/anat/geo_dist
83653, sub-HC046_ses-01/anat/geo_dist
83661, sub-HC032_ses-01/anat/geo_dist
83661, sub-HC039_ses-01/anat/geo_dist
83685, sub-HC020_ses-01/anat/geo_dist
83709, sub-HC006_ses-01/anat/geo_dist
84232, sub-HC004_ses-01/func
84568, sub-HC001_ses-01/func
133420, sub-HC035_ses-01/anat
133436, sub-HC023_ses-01/anat
133460, sub-HC015_ses-01/anat
133492, sub-HC036_ses-01/anat
133500, sub-HC009_ses-01/anat
133500, sub-HC041_ses-01/anat
133508, sub-HC043_ses-01/anat
133516, sub-HC011_ses-01/anat
133524, sub-HC005_ses-01/anat
133532, sub-HC016_ses-01/anat
133532, sub-HC042_ses-01/anat
133548, sub-HC008_ses-01/anat
133556, sub-HC007_ses-01/anat
133556, sub-HC030_ses-01/anat
133556, sub-HC049_ses-01/anat
133564, sub-HC026_ses-01/anat
133564, sub-HC031_ses-01/anat
133572, sub-HC028_ses-01/anat
133572, sub-HC029_ses-01/anat
133572, sub-HC048_ses-01/anat
133580, sub-HC017_ses-01/anat
133580, sub-HC047_ses-01/anat
133588, sub-HC022_ses-01/anat
133588, sub-HC025_ses-01/anat
133604, sub-HC034_ses-01/anat
133604, sub-HC040_ses-01/anat
133604, sub-HC045_ses-01/anat
133604, sub-HC050_ses-01/anat
133612, sub-HC002_ses-01/anat
133612, sub-HC021_ses-01/anat
133612, sub-HC027_ses-01/anat
133620, sub-HC038_ses-01/anat
133628, sub-HC004_ses-01/anat
133636, sub-HC019_ses-01/anat
133636, sub-HC033_ses-01/anat
133644, sub-HC024_ses-01/anat
133652, sub-HC003_ses-01/anat
133660, sub-HC039_ses-01/anat
133660, sub-HC044_ses-01/anat
133668, sub-HC014_ses-01/anat
133668, sub-HC018_ses-01/anat
133676, sub-HC010_ses-01/anat
133676, sub-HC012_ses-01/anat
133676, sub-HC037_ses-01/anat
133676, sub-HC046_ses-01/anat
133692, sub-HC001_ses-01/anat
133692, sub-HC006_ses-01/anat
133692, sub-HC013_ses-01/anat
133692, sub-HC032_ses-01/anat
133708, sub-HC020_ses-01/anat
250446, sub-HC026_ses-01
250448, sub-HC026
253926, sub-HC023_ses-01
253928, sub-HC023
255014, sub-HC006_ses-01
255016, sub-HC006
255094, sub-HC048_ses-01
255096, sub-HC048
255198, sub-HC042_ses-01
255200, sub-HC042
255278, sub-HC007_ses-01
255280, sub-HC007
